"ADM_name","ISO3","Name_short","Date_b19","Date_e19","Date_b18","Date_e18","Date_b17","Date_e17","Date_b16","Date_e16","Date_b15","Date_e15","Date_b14","Date_e14","Date_b13","Date_e13","Date_b12","Date_e12","Date_b11","Date_e11","Date_b10","Date_e10","Date_b09","Date_e09"
"Afghanistan","AFG","summer holiday",2019-07-25,2019-08-10,2018-07-25,2018-08-10,2017-07-25,2017-08-10,2016-07-25,2016-08-10,2015-07-25,2015-08-09,2014-07-26,2014-08-10,2013-07-27,2013-08-10,2012-07-25,2012-08-10,2011-07-25,2011-08-10,2010-07-25,2010-08-08,2009-07-25,2009-08-09
"Albania","ALB","summer holiday",2019-06-08,2019-09-15,2018-06-09,2018-09-15,2017-06-10,2017-09-15,2016-06-08,2016-09-15,2015-06-08,2015-09-13,2014-06-08,2014-09-14,2013-06-08,2013-09-15,2012-06-09,2012-09-15,2011-06-08,2011-09-15,2010-06-08,2010-09-15,2009-06-08,2009-09-13
"Algeria","DZA","summer holiday",2019-07-04,2019-09-04,2018-07-04,2018-09-02,2017-07-04,2017-09-03,2016-07-04,2016-09-04,2015-07-04,2015-09-04,2014-07-05,2014-09-04,2013-07-06,2013-09-04,2012-07-04,2012-09-02,2011-07-04,2011-09-04,2010-07-04,2010-09-04,2009-07-04,2009-09-04
"American Samoa","ASM","summer holiday",2019-07-20,2019-08-18,2018-07-21,2018-08-18,2017-07-22,2017-08-18,2016-07-20,2016-08-18,2015-07-20,2015-08-16,2014-07-20,2014-08-17,2013-07-20,2013-08-18,2012-07-21,2012-08-18,2011-07-20,2011-08-18,2010-07-20,2010-08-18,2009-07-20,2009-08-16
"American Samoa","ASM","spring holiday",2019-05-04,2019-06-02,2018-05-05,2018-06-02,2017-05-06,2017-06-02,2016-05-04,2016-06-02,2015-05-04,2015-05-31,2014-05-04,2014-06-01,2013-05-04,2013-06-02,2012-05-05,2012-06-02,2011-05-04,2011-06-02,2010-05-04,2010-06-02,2009-05-04,2009-05-31
"American Samoa","ASM","winter holiday",2019-11-30,2020-01-12,2018-12-01,2019-01-12,2017-12-02,2018-01-12,2016-11-30,2017-01-12,2015-11-30,2016-01-10,2014-11-30,2015-01-11,2013-11-30,2014-01-12,2012-12-01,2013-01-12,2011-11-30,2012-01-12,2010-11-30,2011-01-12,2009-11-30,2010-01-10
"Andorra","AND","summer holiday",2019-06-29,2019-09-08,2018-06-30,2018-09-08,2017-07-01,2017-09-08,2016-06-29,2016-09-08,2015-06-29,2015-09-06,2014-06-29,2014-09-07,2013-06-29,2013-09-08,2012-06-30,2012-09-08,2011-06-29,2011-09-08,2010-06-29,2010-09-08,2009-06-29,2009-09-06
"Angola","AGO","break between school years/terms",2019-12-17,2020-01-31,2018-12-17,2019-01-31,2017-12-17,2018-01-31,2016-12-17,2017-01-29,2015-12-19,2016-01-31,2014-12-17,2015-01-31,2013-12-17,2014-01-31,2012-12-17,2013-01-31,2011-12-17,2012-01-29,2010-12-18,2011-01-30,2009-12-19,2010-01-31
"Anguilla","AIA","summer holiday",2019-07-06,2019-09-08,2018-07-07,2018-09-08,2017-07-08,2017-09-08,2016-07-06,2016-09-08,2015-07-06,2015-09-06,2014-07-06,2014-09-07,2013-07-06,2013-09-08,2012-07-07,2012-09-08,2011-07-06,2011-09-08,2010-07-06,2010-09-08,2009-07-06,2009-09-06
"Antigua & Barbuda","ATG","summer holiday",2019-06-22,2019-09-01,2018-06-23,2018-09-01,2017-06-24,2017-09-01,2016-06-22,2016-09-01,2015-06-22,2015-08-30,2014-06-22,2014-08-31,2013-06-22,2013-09-01,2012-06-23,2012-09-01,2011-06-22,2011-09-01,2010-06-22,2010-09-01,2009-06-22,2009-08-30
"Argentina","ARG","winter holiday",2019-07-06,2019-07-21,2018-07-07,2018-07-21,2017-07-08,2017-07-21,2016-07-06,2016-07-21,2015-07-06,2015-07-19,2014-07-06,2014-07-20,2013-07-06,2013-07-21,2012-07-07,2012-07-21,2011-07-06,2011-07-21,2010-07-06,2010-07-21,2009-07-06,2009-07-19
"Argentina","ARG","summer holiday",2019-11-30,2020-03-01,2018-12-01,2019-03-01,2017-12-02,2018-03-01,2016-11-30,2017-03-01,2015-11-30,2016-02-28,2014-11-30,2015-03-01,2013-11-30,2014-03-01,2012-12-01,2013-03-01,2011-11-30,2012-03-01,2010-11-30,2011-02-27,2009-11-30,2010-02-28
"Armenia","ARM","summer holiday",2019-05-25,2019-09-01,2018-05-26,2018-09-01,2017-05-27,2017-09-01,2016-05-25,2016-09-01,2015-05-25,2015-08-30,2014-05-25,2014-08-31,2013-05-25,2013-09-01,2012-05-26,2012-09-01,2011-05-25,2011-09-01,2010-05-25,2010-09-01,2009-05-25,2009-08-30
"Aruba","ABW","autumn holiday",2019-10-05,2019-10-13,2018-10-06,2018-10-13,2017-10-07,2017-10-13,2016-10-05,2016-10-13,2015-10-05,2015-10-11,2014-10-05,2014-10-12,2013-10-05,2013-10-13,2012-10-06,2012-10-13,2011-10-05,2011-10-13,2010-10-05,2010-10-13,2009-10-05,2009-10-11
"Aruba","ABW","summer holiday",2019-06-13,2019-08-14,2018-06-13,2018-08-12,2017-06-13,2017-08-13,2016-06-13,2016-08-14,2015-06-13,2015-08-14,2014-06-14,2014-08-14,2013-06-15,2013-08-14,2012-06-13,2012-08-12,2011-06-13,2011-08-14,2010-06-13,2010-08-14,2009-06-13,2009-08-14
"Australia","AUS","spring holiday",2019-09-28,2019-10-13,2018-09-29,2018-10-13,2017-09-30,2017-10-13,2016-09-28,2016-10-13,2015-09-28,2015-10-11,2014-09-28,2014-10-12,2013-09-28,2013-10-13,2012-09-29,2012-10-13,2011-09-28,2011-10-13,2010-09-28,2010-10-13,2009-09-28,2009-10-11
"Australia","AUS","winter holiday",2019-07-06,2019-07-21,2018-07-07,2018-07-21,2017-07-08,2017-07-21,2016-07-06,2016-07-21,2015-07-06,2015-07-19,2014-07-06,2014-07-20,2013-07-06,2013-07-21,2012-07-07,2012-07-21,2011-07-06,2011-07-21,2010-07-06,2010-07-21,2009-07-06,2009-07-19
"Australia","AUS","autumn holiday",2019-04-13,2019-04-28,2018-04-14,2018-04-28,2017-04-15,2017-04-28,2016-04-13,2016-04-28,2015-04-13,2015-04-26,2014-04-13,2014-04-27,2013-04-13,2013-04-28,2012-04-14,2012-04-28,2011-04-13,2011-04-28,2010-04-13,2010-04-28,2009-04-13,2009-04-26
"Australia","AUS","summer holiday",2019-12-14,2020-01-28,2018-12-15,2019-01-27,2017-12-16,2018-01-28,2016-12-14,2017-01-28,2015-12-14,2016-01-28,2014-12-14,2015-01-28,2013-12-14,2014-01-26,2012-12-15,2013-01-27,2011-12-14,2012-01-28,2010-12-14,2011-01-28,2009-12-14,2010-01-28
"Austria","AUT","summer holiday",2019-06-30,2019-09-01,2018-06-30,2018-09-01,2017-07-01,2017-09-01,2016-07-02,2016-09-01,2015-06-30,2015-08-30,2014-06-30,2014-08-31,2013-06-30,2013-09-01,2012-06-30,2012-09-01,2011-07-02,2011-09-01,2010-06-30,2010-09-01,2009-06-30,2009-08-30
"Azerbaijan","AZE","autumn holiday",2019-11-16,2019-11-21,2018-11-17,2018-11-21,2017-11-18,2017-11-19,2016-11-16,2016-11-20,2015-11-16,2015-11-21,2014-11-16,2014-11-21,2013-11-16,2013-11-21,2012-11-17,2012-11-21,2011-11-16,2011-11-20,2010-11-16,2010-11-21,2009-11-16,2009-11-21
"Azerbaijan","AZE","break between school years/terms",2019-06-15,2019-09-15,2018-06-16,2018-09-15,2017-06-17,2017-09-15,2016-06-15,2016-09-15,2015-06-15,2015-09-13,2014-06-15,2014-09-14,2013-06-15,2013-09-15,2012-06-16,2012-09-15,2011-06-15,2011-09-15,2010-06-15,2010-09-15,2009-06-15,2009-09-13
"Bahamas","BHS","autumn holiday",2019-10-19,2019-10-29,2018-10-20,2018-10-28,2017-10-21,2017-10-29,2016-10-19,2016-10-29,2015-10-19,2015-10-29,2014-10-19,2014-10-29,2013-10-19,2013-10-27,2012-10-20,2012-10-28,2011-10-19,2011-10-29,2010-10-19,2010-10-29,2009-10-19,2009-10-29
"Bahamas","BHS","summer holiday",2019-06-22,2019-08-27,2018-06-23,2018-08-26,2017-06-24,2017-08-27,2016-06-22,2016-08-27,2015-06-22,2015-08-27,2014-06-22,2014-08-27,2013-06-22,2013-08-25,2012-06-23,2012-08-26,2011-06-22,2011-08-27,2010-06-22,2010-08-27,2009-06-22,2009-08-27
"Bahrain","BHR","summer holiday",2019-06-26,2019-09-01,2018-06-26,2018-09-01,2017-06-26,2017-09-01,2016-06-26,2016-09-01,2015-06-27,2015-08-30,2014-06-28,2014-08-31,2013-06-26,2013-09-01,2012-06-26,2012-09-01,2011-06-26,2011-09-01,2010-06-26,2010-09-01,2009-06-27,2009-08-30
"Bangladesh","BGD","break between school years/terms",2019-08-17,2019-09-01,2018-08-18,2018-09-01,2017-08-19,2017-09-01,2016-08-17,2016-09-01,2015-08-17,2015-08-30,2014-08-17,2014-08-31,2013-08-17,2013-09-01,2012-08-18,2012-09-01,2011-08-17,2011-09-01,2010-08-17,2010-09-01,2009-08-17,2009-08-30
"Bangladesh","BGD","summer holiday",2019-05-16,2019-06-22,2018-05-16,2018-06-22,2017-05-16,2017-06-22,2016-05-16,2016-06-22,2015-05-16,2015-06-21,2014-05-17,2014-06-22,2013-05-18,2013-06-22,2012-05-16,2012-06-22,2011-05-16,2011-06-22,2010-05-16,2010-06-20,2009-05-16,2009-06-21
"Barbados","BRB","summer holiday",2019-07-04,2019-09-08,2018-07-04,2018-09-08,2017-07-04,2017-09-08,2016-07-04,2016-09-08,2015-07-04,2015-09-06,2014-07-05,2014-09-07,2013-07-06,2013-09-08,2012-07-04,2012-09-08,2011-07-04,2011-09-08,2010-07-04,2010-09-08,2009-07-04,2009-09-06
"Belarus (Bielarus)","BLR","autumn holiday",2019-11-02,2019-11-12,2018-11-03,2018-11-11,2017-11-04,2017-11-12,2016-11-02,2016-11-12,2015-11-02,2015-11-12,2014-11-02,2014-11-12,2013-11-02,2013-11-10,2012-11-03,2012-11-11,2011-11-02,2011-11-12,2010-11-02,2010-11-12,2009-11-02,2009-11-12
"Belarus (Bielarus)","BLR","summer holiday",2019-06-01,2019-09-01,2018-06-02,2018-09-01,2017-06-03,2017-09-01,2016-06-01,2016-09-01,2015-06-01,2015-08-30,2014-06-01,2014-08-31,2013-06-01,2013-09-01,2012-06-02,2012-09-01,2011-06-01,2011-09-01,2010-06-01,2010-09-01,2009-06-01,2009-08-30
"Belgium","BEL","summer holiday",2019-07-01,2019-09-01,2018-07-01,2018-09-01,2017-07-01,2017-09-01,2016-07-02,2016-09-01,2015-07-01,2015-08-30,2014-07-01,2014-08-31,2013-07-01,2013-09-01,2012-07-01,2012-09-01,2011-07-02,2011-09-01,2010-07-03,2010-09-01,2009-07-01,2009-08-30
"Belize","BLZ","summer holiday",2019-06-29,2019-09-01,2018-06-30,2018-09-01,2017-07-01,2017-09-01,2016-06-29,2016-09-01,2015-06-29,2015-08-30,2014-06-29,2014-08-31,2013-06-29,2013-09-01,2012-06-30,2012-09-01,2011-06-29,2011-09-01,2010-06-29,2010-09-01,2009-06-29,2009-08-30
"Benin","BEN","summer holiday",2019-06-26,2019-09-15,2018-06-26,2018-09-15,2017-06-26,2017-09-15,2016-06-26,2016-09-15,2015-06-27,2015-09-13,2014-06-28,2014-09-14,2013-06-26,2013-09-15,2012-06-26,2012-09-15,2011-06-26,2011-09-15,2010-06-26,2010-09-15,2009-06-27,2009-09-13
"Bermuda","BMU","summer holiday",2019-06-29,2019-09-10,2018-06-30,2018-09-09,2017-07-01,2017-09-10,2016-06-29,2016-09-10,2015-06-29,2015-09-10,2014-06-29,2014-09-10,2013-06-29,2013-09-08,2012-06-30,2012-09-09,2011-06-29,2011-09-10,2010-06-29,2010-09-10,2009-06-29,2009-09-10
"Bhutan","BTN","summer holiday",2019-07-01,2019-07-31,2018-07-01,2018-07-29,2017-07-01,2017-07-30,2016-07-02,2016-07-31,2015-07-01,2015-07-31,2014-07-01,2014-07-31,2013-07-01,2013-07-31,2012-07-01,2012-07-29,2011-07-02,2011-07-31,2010-07-03,2010-07-31,2009-07-01,2009-07-31
"Bolivia","BOL","winter holiday",2019-06-29,2019-07-14,2018-06-30,2018-07-14,2017-07-01,2017-07-14,2016-06-29,2016-07-14,2015-06-29,2015-07-12,2014-06-29,2014-07-13,2013-06-29,2013-07-14,2012-06-30,2012-07-14,2011-06-29,2011-07-14,2010-06-29,2010-07-14,2009-06-29,2009-07-12
"Bolivia","BOL","summer holiday",2019-11-30,2020-01-31,2018-12-01,2019-01-31,2017-12-02,2018-01-31,2016-11-30,2017-01-29,2015-11-30,2016-01-31,2014-11-30,2015-01-31,2013-11-30,2014-01-31,2012-12-01,2013-01-31,2011-11-30,2012-01-29,2010-11-30,2011-01-30,2009-11-30,2010-01-31
"Bosnia & Herzegovina (Federation)","BIH","summer holiday",2019-06-09,2019-09-01,2018-06-09,2018-09-01,2017-06-10,2017-09-01,2016-06-11,2016-09-01,2015-06-09,2015-08-30,2014-06-09,2014-08-31,2013-06-09,2013-09-01,2012-06-09,2012-09-01,2011-06-11,2011-09-01,2010-06-09,2010-09-01,2009-06-09,2009-08-30
"Botswana","BWA","winter holiday",2019-07-13,2019-07-28,2018-07-14,2018-07-28,2017-07-15,2017-07-28,2016-07-13,2016-07-28,2015-07-13,2015-07-26,2014-07-13,2014-07-27,2013-07-13,2013-07-28,2012-07-14,2012-07-28,2011-07-13,2011-07-28,2010-07-13,2010-07-28,2009-07-13,2009-07-26
"Botswana","BWA","summer holiday",2019-12-01,2020-01-12,2018-12-01,2019-01-12,2017-12-02,2018-01-12,2016-12-03,2017-01-12,2015-12-01,2016-01-10,2014-12-01,2015-01-11,2013-12-01,2014-01-12,2012-12-01,2013-01-12,2011-12-03,2012-01-12,2010-12-01,2011-01-12,2009-12-01,2010-01-10
"Brazil","BRA","winter holiday",2019-06-20,2019-07-28,2019-06-23,2018-07-29,2017-06-20,2017-07-28,2016-06-20,2016-07-28,2015-06-20,2015-07-26,2014-06-21,2014-07-27,2013-06-22,2013-07-28,2012-06-20,2012-07-28,2011-06-20,2011-07-28,2010-06-20,2010-07-28,2009-06-20,2009-07-26
"Brazil","BRA","summer holiday",2019-12-18,2020-02-02,2018-12-22,2019-02-03,2017-12-18,2018-02-02,2016-12-18,2017-02-02,2015-12-19,2016-01-31,2014-12-20,2015-02-01,2013-12-18,2014-02-02,2012-12-18,2013-02-02,2011-12-18,2012-02-02,2010-12-18,2011-02-02,2009-12-19,2010-01-31
"British-virgin-islands","VGB","break between school years/terms",2019-06-18,2019-09-03,2018-06-18,2018-09-02,2017-06-18,2017-09-03,2016-06-18,2016-09-03,2015-06-20,2015-09-03,2014-06-18,2014-09-03,2013-06-18,2013-09-01,2012-06-18,2012-09-02,2011-06-18,2011-09-03,2010-06-19,2010-09-03,2009-06-20,2009-09-03
"Brunei Darussalam","BRN","break between school years/terms",2019-09-07,2019-09-15,2018-09-08,2018-09-15,2017-09-09,2017-09-15,2016-09-07,2016-09-15,2015-09-07,2015-09-13,2014-09-07,2014-09-14,2013-09-07,2013-09-15,2012-09-08,2012-09-15,2011-09-07,2011-09-15,2010-09-07,2010-09-15,2009-09-07,2009-09-13
"Brunei Darussalam","BRN","break between school years/terms",2019-03-16,2019-03-31,2018-03-17,2018-03-31,2017-03-18,2017-03-31,2016-03-16,2016-03-31,2015-03-16,2015-03-29,2014-03-16,2014-03-30,2013-03-16,2013-03-31,2012-03-17,2012-03-31,2011-03-16,2011-03-31,2010-03-16,2010-03-31,2009-03-16,2009-03-29
"Brunei Darussalam","BRN","break between school years/terms",2019-12-01,2020-01-01,2018-12-01,2018-12-30,2017-12-02,2017-12-31,2016-12-03,2017-01-01,2015-12-01,2016-01-01,2014-12-01,2015-01-01,2013-12-01,2014-01-01,2012-12-01,2012-12-30,2011-12-03,2012-01-01,2010-12-01,2011-01-01,2009-12-01,2010-01-01
"Bulgaria","BGR","summer holiday",2019-06-29,2019-09-03,2018-06-30,2018-09-02,2017-07-01,2017-09-03,2016-06-29,2016-09-03,2015-06-29,2015-09-03,2014-06-29,2014-09-03,2013-06-29,2013-09-01,2012-06-30,2012-09-02,2011-06-29,2011-09-03,2010-06-29,2010-09-03,2009-06-29,2009-09-03
"Burkina Faso","BFA","summer holiday",2019-07-06,2019-09-03,2018-07-07,2018-09-02,2017-07-08,2017-09-03,2016-07-06,2016-09-03,2015-07-06,2015-09-03,2014-07-06,2014-09-03,2013-07-06,2013-09-01,2012-07-07,2012-09-02,2011-07-06,2011-09-03,2010-07-06,2010-09-03,2009-07-06,2009-09-03
"Burundi","BDI","summer holiday",2019-07-13,2019-09-08,2018-07-14,2018-09-08,2017-07-15,2017-09-08,2016-07-13,2016-09-08,2015-07-13,2015-09-06,2014-07-13,2014-09-07,2013-07-13,2013-09-08,2012-07-14,2012-09-08,2011-07-13,2011-09-08,2010-07-13,2010-09-08,2009-07-13,2009-09-06
"C?te d'Ivoire (Ivory Coast)","CIV","summer holiday",2019-07-31,2019-09-08,2018-07-31,2018-09-08,2017-07-31,2017-09-08,2016-07-31,2016-09-08,2015-08-01,2015-09-06,2014-08-02,2014-09-07,2013-07-31,2013-09-08,2012-07-31,2012-09-08,2011-07-31,2011-09-08,2010-07-31,2010-09-08,2009-08-01,2009-09-06
"Cambodia","KHM","summer holiday",2019-06-08,2019-08-06,2018-06-09,2018-08-05,2017-06-10,2017-08-06,2016-06-08,2016-08-06,2015-06-08,2015-08-06,2014-06-08,2014-08-06,2013-06-08,2013-08-04,2012-06-09,2012-08-05,2011-06-08,2011-08-06,2010-06-08,2010-08-06,2009-06-08,2009-08-06
"Cameroon","CMR","summer holiday",2019-07-06,2019-09-03,2018-07-07,2018-09-02,2017-07-08,2017-09-03,2016-07-06,2016-09-03,2015-07-06,2015-09-03,2014-07-06,2014-09-03,2013-07-06,2013-09-01,2012-07-07,2012-09-02,2011-07-06,2011-09-03,2010-07-06,2010-09-03,2009-07-06,2009-09-03
"Canada","CAN","summer holiday",2019-06-27,2019-09-03,2018-06-27,2018-09-02,2017-06-27,2017-09-03,2016-06-27,2016-09-03,2015-06-27,2015-09-03,2014-06-28,2014-09-03,2013-06-29,2013-09-01,2012-06-27,2012-09-02,2011-06-27,2011-09-03,2010-06-27,2010-09-03,2009-06-27,2009-09-03
"Cape Verde","CPV","summer holiday",2019-06-29,2019-09-17,2018-06-30,2018-09-16,2017-07-01,2017-09-17,2016-06-29,2016-09-17,2015-06-29,2015-09-17,2014-06-29,2014-09-17,2013-06-29,2013-09-15,2012-06-30,2012-09-16,2011-06-29,2011-09-17,2010-06-29,2010-09-17,2009-06-29,2009-09-17
"Cayman","CYM","summer holiday",2019-06-29,2019-08-27,2018-06-30,2018-08-26,2017-07-01,2017-08-27,2016-06-29,2016-08-27,2015-06-29,2015-08-27,2014-06-29,2014-08-27,2013-06-29,2013-08-25,2012-06-30,2012-08-26,2011-06-29,2011-08-27,2010-06-29,2010-08-27,2009-06-29,2009-08-27
"Central African Rep","CAF","autumn holiday",2019-10-26,2019-11-03,2018-10-27,2018-11-03,2017-10-28,2017-11-03,2016-10-26,2016-11-03,2015-10-26,2015-11-01,2014-10-26,2014-11-02,2013-10-26,2013-11-03,2012-10-27,2012-11-03,2011-10-26,2011-11-03,2010-10-26,2010-11-03,2009-10-26,2009-11-01
"Central African Rep","CAF","summer holiday",2019-07-01,2019-09-01,2018-07-01,2018-09-01,2017-07-01,2017-09-01,2016-07-02,2016-09-01,2015-07-01,2015-08-30,2014-07-01,2014-08-31,2013-07-01,2013-09-01,2012-07-01,2012-09-01,2011-07-02,2011-09-01,2010-07-03,2010-09-01,2009-07-01,2009-08-30
"Chad","TCD","summer holiday",2019-07-06,2019-09-01,2018-07-07,2018-09-01,2017-07-08,2017-09-01,2016-07-06,2016-09-01,2015-07-06,2015-08-30,2014-07-06,2014-08-31,2013-07-06,2013-09-01,2012-07-07,2012-09-01,2011-07-06,2011-09-01,2010-07-06,2010-09-01,2009-07-06,2009-08-30
"Chile","CHL","winter holiday",2019-07-17,2019-07-28,2018-07-17,2018-07-28,2017-07-17,2017-07-28,2016-07-17,2016-07-28,2015-07-18,2015-07-26,2014-07-19,2014-07-27,2013-07-17,2013-07-28,2012-07-17,2012-07-28,2011-07-17,2011-07-28,2010-07-17,2010-07-28,2009-07-18,2009-07-26
"Colombia","COL","summer holiday",2019-06-29,2019-07-14,2018-06-30,2018-07-14,2017-07-01,2017-07-14,2016-06-29,2016-07-14,2015-06-29,2015-07-12,2014-06-29,2014-07-13,2013-06-29,2013-07-14,2012-06-30,2012-07-14,2011-06-29,2011-07-14,2010-06-29,2010-07-14,2009-06-29,2009-07-12
"Comoros","COM","winter holiday",2019-07-06,2019-09-04,2018-07-07,2018-09-02,2017-07-08,2017-09-03,2016-07-06,2016-09-04,2015-07-06,2015-09-04,2014-07-06,2014-09-04,2013-07-06,2013-09-04,2012-07-07,2012-09-02,2011-07-06,2011-09-04,2010-07-06,2010-09-04,2009-07-06,2009-09-04
"Congo (Brazzaville)","COG","summer holiday",2019-06-27,2019-09-01,2018-06-27,2018-09-01,2017-06-27,2017-09-01,2016-06-27,2016-09-01,2015-06-27,2015-08-30,2014-06-28,2014-08-31,2013-06-29,2013-09-01,2012-06-27,2012-09-01,2011-06-27,2011-09-01,2010-06-27,2010-09-01,2009-06-27,2009-08-30
"Congo (Dem. Rep. of the)","COD","summer holiday",2019-07-02,2019-09-01,2018-07-02,2018-09-01,2017-07-02,2017-09-01,2016-07-02,2016-09-01,2015-07-04,2015-08-30,2014-07-02,2014-08-31,2013-07-02,2013-09-01,2012-07-02,2012-09-01,2011-07-02,2011-09-01,2010-07-03,2010-09-01,2009-07-04,2009-08-30
"Cook Islands","COK","spring holiday",2019-10-05,2019-10-20,2018-10-06,2018-10-20,2017-10-07,2017-10-20,2016-10-05,2016-10-20,2015-10-05,2015-10-18,2014-10-05,2014-10-19,2013-10-05,2013-10-20,2012-10-06,2012-10-20,2011-10-05,2011-10-20,2010-10-05,2010-10-20,2009-10-05,2009-10-18
"Cook Islands","COK","winter holiday",2019-07-20,2019-08-04,2018-07-21,2018-08-04,2017-07-22,2017-08-04,2016-07-20,2016-08-04,2015-07-20,2015-08-02,2014-07-20,2014-08-03,2013-07-20,2013-08-04,2012-07-21,2012-08-04,2011-07-20,2011-08-04,2010-07-20,2010-08-04,2009-07-20,2009-08-02
